                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                 1.3363,                 1.0373,                 1.0772,                0.69598,                0.39359,                0.43633,                0.26282,                 1.2371,                0.91736,                 1.0416,              0.0088714,              0.0088714,              0.0088714
                    117,                 1.3382,                 1.0402,                 1.0777,                0.70057,                0.39178,                 0.4364,                0.26267,                 1.2369,                0.91713,                 1.0414,              0.0088615,              0.0088615,              0.0088615
                    118,                 1.3378,                 1.0363,                 1.0769,                0.70524,                0.38907,                0.43646,                0.26324,                 1.2364,                0.91656,                 1.0411,              0.0088516,              0.0088516,              0.0088516
                    119,                 1.3373,                 1.0365,                 1.0775,                0.70594,                0.38936,                0.43637,                0.26314,                 1.2362,                 0.9165,                  1.041,              0.0088417,              0.0088417,              0.0088417
                    120,                 1.3374,                 1.0364,                 1.0774,                0.69932,                0.39335,                0.43632,                0.26331,                  1.236,                  0.916,                 1.0408,              0.0088318,              0.0088318,              0.0088318
                    121,                 1.3374,                 1.0365,                 1.0764,                0.69478,                0.39505,                0.43649,                0.26347,                 1.2358,                0.91565,                 1.0407,              0.0088219,              0.0088219,              0.0088219
                    122,                 1.3381,                 1.0372,                 1.0761,                0.68581,                0.39863,                0.43675,                0.26364,                 1.2356,                0.91537,                 1.0405,               0.008812,               0.008812,               0.008812
                    123,                 1.3337,                 1.0339,                  1.076,                0.69343,                0.39539,                0.43715,                0.26391,                 1.2354,                 0.9149,                 1.0403,              0.0088021,              0.0088021,              0.0088021
                    124,                 1.3375,                 1.0372,                 1.0767,                0.69664,                0.39487,                 0.4373,                0.26408,                 1.2353,                0.91438,                 1.0401,              0.0087922,              0.0087922,              0.0087922
                    125,                 1.3354,                 1.0344,                 1.0768,                0.69857,                0.39289,                0.43727,                0.26432,                 1.2351,                0.91371,                 1.0401,              0.0087823,              0.0087823,              0.0087823
                    126,                 1.3336,                 1.0321,                 1.0752,                0.69068,                0.39748,                 0.4377,                0.26447,                  1.235,                0.91324,                 1.0399,              0.0087724,              0.0087724,              0.0087724
                    127,                 1.3378,                 1.0355,                 1.0771,                0.69995,                0.39315,                0.43793,                 0.2649,                 1.2349,                0.91298,                 1.0399,              0.0087625,              0.0087625,              0.0087625
                    128,                 1.3376,                 1.0353,                 1.0766,                0.70415,                0.39142,                0.43788,                0.26502,                 1.2348,                0.91275,                 1.0397,              0.0087526,              0.0087526,              0.0087526
                    129,                 1.3369,                 1.0343,                  1.077,                0.70327,                0.39286,                0.43801,                0.26523,                 1.2347,                0.91249,                 1.0396,              0.0087427,              0.0087427,              0.0087427
                    130,                 1.3375,                 1.0367,                 1.0777,                0.70522,                0.39198,                0.43829,                0.26511,                 1.2345,                0.91237,                 1.0395,              0.0087328,              0.0087328,              0.0087328
                    131,                 1.3382,                 1.0356,                 1.0767,                0.70545,                 0.3927,                 0.4383,                0.26526,                 1.2345,                0.91246,                 1.0393,              0.0087229,              0.0087229,              0.0087229
